id,customer_id,product_id,rating,review_text,review_date
1,262,411,3,"Fair quality, could be better.",2024-11-24 00:00:00
2,454,73,4,"Very good product, minor improvements needed.",2024-03-04 00:00:00
3,74,668,4,"Nice product, met my expectations.",2023-04-11 00:00:00
4,281,441,4,"Quality is good, delivery was fast.",2023-01-13 00:00:00
5,530,557,4,"Nice product, met my expectations.",2024-07-01 00:00:00
6,325,123,5,Perfect! Exactly what I was looking for.,2023-01-21 00:00:00
7,578,596,5,Absolutely love it! Will buy again.,2024-09-13 00:00:00
8,805,417,5,Superb quality and fast delivery.,2023-05-06 00:00:00
9,439,443,3,"Acceptable, but not impressed.",2023-10-12 00:00:00
10,621,46,4,"Great quality, happy with my purchase.",2024-08-14 00:00:00
11,517,419,4,"Quality is good, delivery was fast.",2024-07-03 00:00:00
12,409,430,5,"Amazing product, worth every penny!",2023-09-20 00:00:00
13,778,526,4,"Quality is good, delivery was fast.",2024-05-12 00:00:00
14,575,597,3,"Acceptable, but not impressed.",2023-12-03 00:00:00
15,30,517,5,Superb quality and fast delivery.,2023-08-03 00:00:00
16,702,302,2,"Not as described, below expectations.",2024-11-08 00:00:00
17,759,374,4,"Good value for money, would recommend.",2024-04-02 00:00:00
18,753,270,5,Perfect! Exactly what I was looking for.,2024-07-20 00:00:00
19,484,77,5,"Amazing product, worth every penny!",2024-10-17 00:00:00
20,179,432,5,"Fantastic product, very satisfied!",2023-04-30 00:00:00
21,332,511,5,Perfect! Exactly what I was looking for.,2023-11-10 00:00:00
22,599,136,3,"Fair quality, could be better.",2024-03-22 00:00:00
23,211,439,4,Happy with this purchase overall.,2024-07-18 00:00:00
24,481,412,4,Happy with this purchase overall.,2024-05-26 00:00:00
25,945,240,3,"Works as described, nothing more.",2024-08-12 00:00:00
26,921,192,5,"Outstanding quality, highly recommended!",2023-03-15 00:00:00
27,896,105,4,"Good value for money, would recommend.",2024-10-23 00:00:00
28,262,1,5,Perfect! Exactly what I was looking for.,2023-07-24 00:00:00
29,496,505,3,"Acceptable, but not impressed.",2023-07-13 00:00:00
