id,name,country,contact_email,reliability_score
1,TechSource Ltd,United States,sales@techsourceltd.com,0.83
2,ElectroWorld Suppliers,China,sales@electroworldsupplier.com,0.85
3,Fashion Forward Co,Japan,sales@fashionforwardco.com,0.74
4,HomeStyle Distributors,France,sales@homestyledistributor.com,0.88
5,Sports Gear International,Italy,sales@sportsgearinternatio.com,1.0
6,Book Haven Wholesale,Italy,sales@bookhavenwholesale.com,0.99
7,Toy Kingdom Suppliers,United States,sales@toykingdomsuppliers.com,0.92
8,Global Electronics,India,sales@globalelectronics.com,0.69
9,Premium Fashion House,Italy,sales@premiumfashionhouse.com,0.81
10,Comfort Living Supplies,United Kingdom,sales@comfortlivingsupplie.com,0.9
11,Active Life Sports,Canada,sales@activelifesports.com,0.86
12,Literary Treasures,United States,sales@literarytreasures.com,0.93
13,PlayTime Distributors,China,sales@playtimedistributors.com,0.67
14,Digital Solutions Inc,Netherlands,sales@digitalsolutionsinc.com,0.96
15,Style & Elegance,India,sales@styleandelegance.com,0.68
16,Interior Design Wholesale,South Korea,sales@interiordesignwholes.com,0.86
17,FitLife Equipment,Germany,sales@fitlifeequipment.com,0.89
18,Knowledge Publishers,Germany,sales@knowledgepublishers.com,0.93
19,Creative Toys Ltd,Germany,sales@creativetoysltd.com,0.8
20,Smart Devices Co,France,sales@smartdevicesco.com,0.92
21,Trendy Apparel,France,sales@trendyapparel.com,0.75
22,Modern Home Solutions,Belgium,sales@modernhomesolutions.com,0.82
23,Outdoor Adventures,United Kingdom,sales@outdooradventures.com,0.65
24,Academic Press,Japan,sales@academicpress.com,0.66
25,Fun & Games Corp,Spain,sales@funandgamescorp.com,0.99
26,Innovation Electronics,Belgium,sales@innovationelectronic.com,0.97
27,Classic Fashion,Spain,sales@classicfashion.com,0.94
28,Essential Home Goods,Germany,sales@essentialhomegoods.com,0.8
29,Performance Sports,Sweden,sales@performancesports.com,0.65
30,Bestseller Books,Sweden,sales@bestsellerbooks.com,0.78
31,Happy Kids Toys,United States,sales@happykidstoys.com,0.95
32,NextGen Technology,Canada,sales@nextgentechnology.com,0.87
33,Urban Style,Italy,sales@urbanstyle.com,0.77
34,Cozy Home Supplies,Netherlands,sales@cozyhomesupplies.com,0.88
35,Champion Sports,South Korea,sales@championsports.com,0.94
36,Wisdom Publishers,China,sales@wisdompublishers.com,0.76
37,Wonder Toys,China,sales@wondertoys.com,0.82
38,Tech Innovations,Spain,sales@techinnovations.com,0.7
39,Fashion Elite,United Kingdom,sales@fashionelite.com,0.97
40,Living Space,South Korea,sales@livingspace.com,0.89
41,Athletic Pro,Poland,sales@athleticpro.com,0.88
42,Book World,South Korea,sales@bookworld.com,0.72
43,Magic Toys,Belgium,sales@magictoys.com,0.92
44,Digital Age,United States,sales@digitalage.com,0.71
45,Style Hub,India,sales@stylehub.com,0.95
46,Home Essentials,Netherlands,sales@homeessentials.com,0.77
47,Sports Champion,France,sales@sportschampion.com,0.67
48,Learning Resources,India,sales@learningresources.com,0.69
49,Toy Paradise,Spain,sales@toyparadise.com,0.67
50,Future Tech,United States,sales@futuretech.com,0.71
