id,name,description,category,subcategory,price,supplier_id,stock_quantity,created_at
1,Master Laptop 13-inch Standard,Affordable laptop 13-inch with excellent value for money,Electronics,Consumer Electronics,624.65,28,58,2024-01-01 00:00:00
2,ProLine Laptop 13-inch Plus,High-quality laptop 13-inch perfect for everyday use,Electronics,Consumer Electronics,1155.07,32,407,2024-01-01 00:00:00
3,Advanced Laptop 13-inch Premium,Affordable laptop 13-inch with excellent value for money,Electronics,Consumer Electronics,1534.71,18,94,2024-01-01 00:00:00
4,EliteGear Laptop 15-inch Standard,Award-winning laptop 15-inch with innovative design,Electronics,Consumer Electronics,179.82,17,451,2024-01-01 00:00:00
5,UltraMax Laptop 15-inch Plus,Professional-grade laptop 15-inch with advanced features,Electronics,Consumer Electronics,3351.21,34,484,2024-01-01 00:00:00
6,NextGen Laptop 15-inch Premium,Award-winning laptop 15-inch with innovative design,Electronics,Consumer Electronics,477.15,28,30,2024-01-01 00:00:00
7,NextGen Laptop 17-inch,Award-winning laptop 17-inch with innovative design,Electronics,Consumer Electronics,1641.62,25,299,2024-01-01 00:00:00
8,SmartChoice Gaming Laptop,Award-winning gaming laptop with innovative design,Electronics,Consumer Electronics,1839.51,7,76,2024-01-01 00:00:00
9,Advanced Ultrabook,High-quality ultrabook perfect for everyday use,Electronics,Consumer Electronics,746.67,16,475,2024-01-01 00:00:00
10,Classic Desktop PC,Professional-grade desktop pc with advanced features,Electronics,Consumer Electronics,2476.91,43,14,2024-01-01 00:00:00
11,UltraMax All-in-One PC Standard,Best-selling all-in-one pc with outstanding reviews,Electronics,Consumer Electronics,1171.95,9,315,2024-01-01 00:00:00
12,EliteGear All-in-One PC Plus,Affordable all-in-one pc with excellent value for money,Electronics,Consumer Electronics,2594.31,11,31,2024-01-01 00:00:00
13,Modern All-in-One PC Premium,Premium all-in-one pc for discerning customers,Electronics,Consumer Electronics,1879.7,6,48,2024-01-01 00:00:00
14,UltraMax Mini PC Standard,Affordable mini pc with excellent value for money,Electronics,Consumer Electronics,2148.14,34,101,2024-01-01 00:00:00
15,Champion Mini PC Plus,Affordable mini pc with excellent value for money,Electronics,Consumer Electronics,222.08,32,51,2024-01-01 00:00:00
16,Premium Mini PC Premium,Award-winning mini pc with innovative design,Electronics,Consumer Electronics,3989.96,29,244,2024-01-01 00:00:00
17,TechPro Gaming Desktop Standard,Award-winning gaming desktop with innovative design,Electronics,Consumer Electronics,784.23,1,239,2024-01-01 00:00:00
18,Expert Gaming Desktop Plus,Premium gaming desktop for discerning customers,Electronics,Consumer Electronics,3267.35,1,253,2024-01-01 00:00:00
19,SmartChoice Gaming Desktop Premium,Affordable gaming desktop with excellent value for money,Electronics,Consumer Electronics,3106.52,2,358,2024-01-01 00:00:00
20,NextGen Workstation,High-quality workstation perfect for everyday use,Electronics,Consumer Electronics,1173.07,31,242,2024-01-01 00:00:00
21,Expert Tablet 7-inch Standard,Award-winning tablet 7-inch with innovative design,Electronics,Consumer Electronics,704.31,21,326,2024-01-01 00:00:00
22,Advanced Tablet 7-inch Plus,Premium tablet 7-inch for discerning customers,Electronics,Consumer Electronics,2125.84,27,402,2024-01-01 00:00:00
23,Supreme Tablet 10-inch,Top-rated tablet 10-inch trusted by thousands,Electronics,Consumer Electronics,2253.86,7,187,2024-01-01 00:00:00
24,Premium iPad Standard,Best-selling ipad with outstanding reviews,Electronics,Consumer Electronics,2107.55,2,121,2024-01-01 00:00:00
25,NextGen iPad Plus,High-quality ipad perfect for everyday use,Electronics,Consumer Electronics,1035.03,7,421,2024-01-01 00:00:00
26,Professional iPad Premium,Best-selling ipad with outstanding reviews,Electronics,Consumer Electronics,1278.29,7,403,2024-01-01 00:00:00
27,Premium Android Tablet Standard,Award-winning android tablet with innovative design,Electronics,Consumer Electronics,1589.67,30,478,2024-01-01 00:00:00
28,NextGen Android Tablet Plus,Top-rated android tablet trusted by thousands,Electronics,Consumer Electronics,111.77,21,83,2024-01-01 00:00:00
29,EliteGear Android Tablet Premium,Top-rated android tablet trusted by thousands,Electronics,Consumer Electronics,778.47,37,165,2024-01-01 00:00:00
30,UltraMax Windows Tablet Standard,Affordable windows tablet with excellent value for money,Electronics,Consumer Electronics,1847.65,18,126,2024-01-01 00:00:00
31,UltraMax Windows Tablet Plus,Affordable windows tablet with excellent value for money,Electronics,Consumer Electronics,2740.06,16,224,2024-01-01 00:00:00
32,Essential Windows Tablet Premium,Premium windows tablet for discerning customers,Electronics,Consumer Electronics,1027.4,32,497,2024-01-01 00:00:00
33,Champion Monitor 24-inch Standard,Award-winning monitor 24-inch with innovative design,Electronics,Consumer Electronics,2277.49,13,169,2024-01-01 00:00:00
34,TechPro Monitor 24-inch Plus,Award-winning monitor 24-inch with innovative design,Electronics,Consumer Electronics,774.02,47,493,2024-01-01 00:00:00
35,EliteGear Monitor 24-inch Premium,Premium monitor 24-inch for discerning customers,Electronics,Consumer Electronics,213.38,46,396,2024-01-01 00:00:00
36,EliteGear Monitor 27-inch Standard,Best-selling monitor 27-inch with outstanding reviews,Electronics,Consumer Electronics,1305.28,31,136,2024-01-01 00:00:00
37,UltraMax Monitor 27-inch Plus,Professional-grade monitor 27-inch with advanced features,Electronics,Consumer Electronics,1612.36,28,401,2024-01-01 00:00:00
38,Advanced Monitor 32-inch Standard,Affordable monitor 32-inch with excellent value for money,Electronics,Consumer Electronics,2055.29,25,446,2024-01-01 00:00:00
39,ValueBest Monitor 32-inch Plus,Premium monitor 32-inch for discerning customers,Electronics,Consumer Electronics,2841.04,39,154,2024-01-01 00:00:00
40,UltraMax Monitor 32-inch Premium,Best-selling monitor 32-inch with outstanding reviews,Electronics,Consumer Electronics,1068.99,27,382,2024-01-01 00:00:00
41,EliteGear 4K Monitor Standard,Best-selling 4k monitor with outstanding reviews,Electronics,Consumer Electronics,1015.57,50,414,2024-01-01 00:00:00
42,Master 4K Monitor Plus,Professional-grade 4k monitor with advanced features,Electronics,Consumer Electronics,3061.97,24,273,2024-01-01 00:00:00
43,EliteGear Gaming Monitor Standard,Affordable gaming monitor with excellent value for money,Electronics,Consumer Electronics,1415.42,11,480,2024-01-01 00:00:00
44,Premium Gaming Monitor Plus,Award-winning gaming monitor with innovative design,Electronics,Consumer Electronics,815.53,20,386,2024-01-01 00:00:00
45,Supreme Gaming Monitor Premium,Award-winning gaming monitor with innovative design,Electronics,Consumer Electronics,2606.72,33,261,2024-01-01 00:00:00
46,ValueBest Mechanical Keyboard Standard,Top-rated mechanical keyboard trusted by thousands,Electronics,Consumer Electronics,411.19,14,403,2024-01-01 00:00:00
47,Advanced Mechanical Keyboard Plus,Professional-grade mechanical keyboard with advanced features,Electronics,Consumer Electronics,2383.97,13,248,2024-01-01 00:00:00
48,Advanced Mechanical Keyboard Premium,High-quality mechanical keyboard perfect for everyday use,Electronics,Consumer Electronics,2909.38,50,334,2024-01-01 00:00:00
49,UltraMax Wireless Keyboard Standard,Professional-grade wireless keyboard with advanced features,Electronics,Consumer Electronics,453.54,39,195,2024-01-01 00:00:00
50,TechPro Wireless Keyboard Plus,Award-winning wireless keyboard with innovative design,Electronics,Consumer Electronics,3365.59,37,388,2024-01-01 00:00:00
