id,customer_id,product_id,quantity,total_amount,order_date,status,payment_method
1,1,595,1,466.34,2024-05-20 00:00:00,completed,bank_transfer
2,1,201,2,906.1,2024-01-10 00:00:00,completed,debit_card
3,1,670,3,541.53,2024-07-03 00:00:00,completed,debit_card
4,1,540,2,264.41,2023-05-01 00:00:00,completed,credit_card
5,1,356,3,383.98,2023-04-24 00:00:00,completed,debit_card
6,2,154,4,328.53,2023-01-05 00:00:00,completed,debit_card
7,2,163,1,329.95,2023-10-31 00:00:00,completed,credit_card
8,2,312,1,149.31,2024-09-12 00:00:00,completed,credit_card
9,2,101,1,63.02,2024-03-17 00:00:00,completed,debit_card
10,4,357,2,244.74,2023-09-26 00:00:00,completed,credit_card
11,4,582,1,343.25,2024-11-30 00:00:00,shipped,credit_card
12,5,664,1,370.82,2024-11-30 00:00:00,completed,paypal
13,5,586,1,220.39,2023-07-09 00:00:00,completed,credit_card
14,5,545,5,192.15,2024-04-07 00:00:00,completed,paypal
15,6,622,2,940.22,2023-02-16 00:00:00,completed,credit_card
16,6,13,1,90.36,2023-04-25 00:00:00,shipped,credit_card
17,6,163,1,157.14,2024-02-22 00:00:00,completed,debit_card
18,7,459,1,123.03,2023-08-14 00:00:00,shipped,credit_card
19,8,28,2,729.69,2023-11-03 00:00:00,completed,debit_card
20,8,200,1,488.7,2024-08-28 00:00:00,completed,debit_card
21,8,368,1,97.41,2024-08-25 00:00:00,completed,credit_card
22,9,301,1,371.26,2023-02-25 00:00:00,cancelled,credit_card
23,9,654,1,332.03,2024-03-13 00:00:00,completed,credit_card
24,9,531,1,235.63,2023-12-28 00:00:00,shipped,paypal
25,9,314,2,881.08,2024-07-20 00:00:00,completed,debit_card
26,9,198,1,61.16,2023-02-22 00:00:00,completed,credit_card
27,10,214,1,430.01,2023-08-28 00:00:00,shipped,paypal
28,10,219,1,498.48,2023-06-30 00:00:00,cancelled,credit_card
29,10,456,2,45.28,2024-11-01 00:00:00,shipped,bank_transfer
30,11,285,2,615.66,2023-03-12 00:00:00,completed,debit_card
31,11,251,1,352.62,2024-06-20 00:00:00,shipped,credit_card
32,11,270,1,291.08,2023-07-21 00:00:00,completed,paypal
33,12,698,1,418.01,2023-06-07 00:00:00,completed,debit_card
34,12,77,4,1231.72,2023-03-09 00:00:00,shipped,paypal
35,12,481,4,490.38,2024-03-03 00:00:00,completed,paypal
36,13,464,1,259.77,2023-02-09 00:00:00,completed,credit_card
37,14,143,1,212.36,2023-11-27 00:00:00,completed,credit_card
38,14,211,1,137.04,2023-09-11 00:00:00,completed,credit_card
39,14,20,3,988.78,2023-02-21 00:00:00,completed,credit_card
40,14,17,1,367.8,2024-08-12 00:00:00,shipped,paypal
41,14,575,3,640.44,2024-09-25 00:00:00,completed,credit_card
42,14,86,1,376.22,2023-06-23 00:00:00,completed,credit_card
43,15,40,2,764.2,2024-08-28 00:00:00,shipped,debit_card
44,15,429,1,409.92,2024-03-14 00:00:00,processing,credit_card
45,15,278,2,370.62,2023-08-22 00:00:00,completed,bank_transfer
46,16,406,2,795.16,2024-01-24 00:00:00,completed,credit_card
47,16,89,1,446.65,2024-01-14 00:00:00,completed,credit_card
48,17,632,1,93.23,2023-06-24 00:00:00,completed,debit_card
49,17,482,3,125.29,2024-04-07 00:00:00,completed,credit_card
50,17,336,1,458.26,2024-06-16 00:00:00,completed,debit_card
51,17,245,3,532.23,2023-06-11 00:00:00,completed,debit_card
52,17,157,4,824.53,2024-04-21 00:00:00,completed,paypal
53,17,399,1,244.95,2023-03-09 00:00:00,completed,bank_transfer
54,17,125,1,210.48,2024-05-15 00:00:00,completed,credit_card
55,17,72,1,399.64,2024-07-10 00:00:00,completed,credit_card
56,17,349,1,21.31,2024-09-11 00:00:00,shipped,bank_transfer
57,17,46,2,117.78,2024-01-12 00:00:00,completed,credit_card
58,18,278,1,397.51,2024-10-15 00:00:00,completed,paypal
59,18,678,2,699.73,2024-09-17 00:00:00,completed,credit_card
60,18,421,2,406.14,2023-02-23 00:00:00,completed,credit_card
61,18,480,2,404.59,2023-05-15 00:00:00,completed,credit_card
62,19,582,2,777.37,2024-02-03 00:00:00,shipped,credit_card
63,19,35,1,474.61,2024-05-06 00:00:00,completed,credit_card
64,20,351,1,319.29,2024-11-14 00:00:00,completed,credit_card
